"","start_hour","n"
"1","00:00",63
"2","01:00",47
"3","02:00",25
"4","03:00",17
"5","04:00",92
"6","05:00",374
"7","06:00",598
"8","07:00",1580
"9","08:00",2830
"10","09:00",1086
"11","10:00",663
"12","11:00",826
"13","12:00",894
"14","13:00",846
"15","14:00",684
"16","15:00",924
"17","16:00",1279
"18","17:00",2048
"19","18:00",1988
"20","19:00",1061
"21","20:00",629
"22","21:00",421
"23","22:00",231
"24","23:00",151
