"","start_hour","n"
"1","00:00",162
"2","01:00",85
"3","02:00",56
"4","03:00",19
"5","04:00",48
"6","05:00",198
"7","06:00",626
"8","07:00",899
"9","08:00",945
"10","09:00",532
"11","10:00",364
"12","11:00",503
"13","12:00",457
"14","13:00",560
"15","14:00",551
"16","15:00",558
"17","16:00",604
"18","17:00",1022
"19","18:00",937
"20","19:00",719
"21","20:00",450
"22","21:00",388
"23","22:00",239
"24","23:00",219
