"","end_hour","n"
"1","00:00",165
"2","01:00",117
"3","02:00",56
"4","03:00",11
"5","04:00",15
"6","05:00",11
"7","06:00",71
"8","07:00",217
"9","08:00",323
"10","09:00",382
"11","10:00",371
"12","11:00",451
"13","12:00",501
"14","13:00",590
"15","14:00",599
"16","15:00",836
"17","16:00",911
"18","17:00",1586
"19","18:00",1259
"20","19:00",983
"21","20:00",696
"22","21:00",490
"23","22:00",355
"24","23:00",269
